title,description,link,provider,ranking,provider_category,category,subcategory,level,hours_to_complete,num_subtitles,subscribers,log_subscribers
Global Diplomacy ?Ä????? Diplomacy in the Modern World,"The Global Diplomacy course is a unique offering to the MOOC environment. Bringing together cutting edge research in the broad fields of Diplomatic and International Studies, award winning distance learning delivery and the instructors previous experience of delivering a successful MOOC. Please see the volume Global Diplomacy: Theories, Types and Models authored with Dr Alison Holmes, (Westview, 2016), and the Understanding Research Methods MOOC from Coursera.",https://www.coursera.org/learn/global-diplomacy,University of London,346,Other university,Social Sciences,Governance and Society,Unknown Level,13,5,129867,11.77426613
New Learning: Principles and Patterns of Pedagogy,"Education is in a state of flux ?Ä????? transitioning from traditional architectures and practices to new ecologies of teaching and learning influenced by the tremendous social and technological changes of our times. What changes are afoot today in workplaces, civic life and everyday community life? What are their implications for education? What are the possible impacts of contemporary social transformations on teaching and learning - including in the areas of technology, media, globalization, diversity, changing forms of work in the ?Ä?????knowledge society?Ä?????, and, in these contexts, changing learner needs and sensibilities? This course explores three pedagogical paradigms: ?Ä?????didactic?Ä?????, ?Ä?????authentic?Ä????? and ?Ä?????transformative?Ä????? learning. It takes an historical perspective in order to define the contemporary dimensions of what we term ?Ä?????new learning?Ä?????. It prepares participants to make purposeful choices and link particular theories/instructional approaches to individual and group learning goals.",https://www.coursera.org/learn/newlearning,University of Illinois at Urbana-Champaign,82,QS 100 University,Social Sciences,Education,Beginner Level,14,1,12765,9.45446233
Homeland Security and Cybersecurity Future,"This course takes a look at the future of cybersecurity with respect to what is being done to lessen the potential for catastrophic destruction resulting from cyber attack on critical infrastructure.  In this respect, we take a short survey of potential technological solutions and response options.  We conclude this module by taking a look at unique aspects of the cyber profession and personal considerations for those who want to make cybersecurity a career.",https://www.coursera.org/learn/homeland-security-cybersecurity-future,University of Colorado System,230,Other university,Social Sciences,Governance and Society,Beginner Level,11,1,3684,8.211754397
Supply Chain Planning,"Have you ever wondered how companies know how much to produce in advance so that they do not make too much or too little? Matching supply and demand requires planning. This course introduces you to the exciting area of supply chain planning. Part of a broader specialization on Supply Chain Management, you will master different forecasting techniques, essential for building a Sales and Operations Plan. At the completion of this course you will have the tools and techniques to analyze demand data, construct different forecasting techniques, and choose the most suitable one for projecting future demand.",https://www.coursera.org/learn/planning,Rutgers the State University of New Jersey,258,Other university,Business,Business Strategy,Beginner Level,14,7,50267,10.82510408
"Be a Leader, Develop a Leader","The objectives of this MOOC are to enable you to learn from applying concepts, exercises and learning from the four other MOOCs in this specialization. Learners involved in our programs over the decades have repeatedly told us that going over the material several times helps them progressively delve into the meaning and application of the ideas and experiences. As a result, we have designed this capstone so that it would be the third iteration of working with the ideas and experiences about effective leadership and inspiring its development in others. The first iteration was during one of the other MOOCs in terms of the videos, readings, Forum chats and reflective exercises. The second iteration was doing one of the personal learning or action learning assignments in one of the MOOCs that involved talking to others and writing an essay about the experience. If you had not done the Action learning assignment, then one of the two projects for this MOOC would involve doing it. The third is reviewing and revising your analysis of the experience as the Capstone project to show evidence that you can Be a Leader and help another Develop as a Leader.",https://www.coursera.org/learn/be-a-leader,Case Western Reserve University,162,Other university,Business,Leadership and Management,Unknown Level,6,6,4535,8.419580363
Robotics: Computational Motion Planning,"Robotic systems typically include three components: a mechanism which is capable of exerting forces and torques on the environment, a perception system for sensing the world and a decision and control system which modulates the robot's behavior to achieve the desired ends.  In this course we will consider the problem of how a robot decides what to do to achieve its goals. This problem is often referred to as Motion Planning and it has been formulated in various ways to model different situations.  You will learn some of the most common approaches to addressing this problem including graph-based methods, randomized planners and artificial potential fields.  Throughout the course, we will discuss the aspects of the problem that make planning challenging.",https://www.coursera.org/learn/robotics-motion-planning,University of Pennsylvania,16,QS 100 University,Physical Science and Engineering,Mechanical Engineering,Unknown Level,11,2,33036,10.40535315
"Act on Climate: Steps to Individual, Community, and Political Action","Are you concerned about climate change? Would you like to learn how to address and respond to this challenge? If so, this course is for you.",https://www.coursera.org/learn/act-on-climate,University of Michigan,21,QS 100 University,Physical Science and Engineering,Environmental Science and Sustainability,Beginner Level,25,5,11603,9.359018964
Academic Discussions in English,"This is the third course in the Learn English: Advanced Speaking and Listening specialization. In this class you will learn about different types of conversations you will have in academic settings. You will also learn some strategies for helping you understand other people's meaning and for helping you express yourself effectively. Learners will record several videos of themselves participating in assigned group discussions with their own friends and upload the videos for peer feedback. While this might seem intimidating, it will be a great opportunity for you to practice and improve your discussion skills.",https://www.coursera.org/learn/academic-discussion-english,"University of California, Irvine",210,Other university,Language Learning,Learning English,Intermediate Level,24,7,25564,10.14894039
Agile Software Development,Software industry is going crazy on agile methods.  It is rapidly becoming the choice for software development where requirements are unpredictable or is expected to change over time. This course will help you gain knowledge on what is agile? Why agile is better suited for these situations?  We will also cover some of the most common agile frameworks like scrum and XP in depth.,https://www.coursera.org/learn/agile-software-development,University of Minnesota,177,Other university,Computer Science,Software Development,Intermediate Level,12,5,72674,11.19373897
Practical Reinforcement Learning,,https://www.coursera.org/learn/practical-rl,National Research University Higher School of Economics,1500,Other university,Data Science,Machine Learning,Advanced Level,26,2,43653,10.68402729
Software Product Management Capstone,"In this six-week capstone course, you will gain practical management experience in a safe, simulated software production setting. You will apply Agile practices and techniques to conquer industry-inspired challenges. Interacting with a realistic client, you will discern what they want and express what they truly need in software requirements to drive software production. Upon completing the capstone, you will be prepared to advance your career as a confident software product management professional.",https://www.coursera.org/learn/software-product-management-capstone,University of Alberta,119,QS 100 University,Computer Science,Design and Product,Unknown Level,19,6,16729,9.724899019
Preparing for the Google Cloud Associate Cloud Engineer Exam,"This on-demand course helps prospective candidates structure their preparation for the Associate Cloud Engineer exam. The session will cover the structure and format of the examination, as well as its relationship to other Google Cloud certifications. Through lectures, demos and hands-on labs, candidates will familiarize themselves with the domains covered by the examination. This course by itself will not prepare a candidate to pass the Associate Cloud Engineer certification exam.  It will, however, help the candidate better understand the areas covered by the exam and navigate the recommended resources provided by Google and Qwiklabs for preparing to take the exam, so they can formulate their own personal study plan.",https://www.coursera.org/learn/preparing-cloud-associate-cloud-engineer-exam,Google Cloud,9,Company,Information Technology,Cloud Computing,Beginner Level,8,1,55520,10.9244986
Introduction to Finance: The Role of Financial Markets,"In Introduction to Finance: The Role of Financial Markets, you will be introduced to the basic concepts and skills needed for financial managers to make informed decisions. With an overview of the structure and dynamics of financial markets and commonly used financial instruments, you will get crucial skills to make capital investment decisions. With these skills, you will be ready to understand how to measure returns and risks and establish the relationship between these two. The focus of this course is on basic concepts and skill sets that will have a direct impact on real-world problems in finance. The course will enable you to understand the role of financial markets and the nature of major securities traded in financial markets. Moreover, you will gain insights into how to make use of financial markets to create value under uncertainty.",https://www.coursera.org/learn/introduction-to-finance-the-role-of-financial-markets,University of Illinois at Urbana-Champaign,82,QS 100 University,Business,Finance,Unknown Level,19,1,3431,8.140607043
Easing Physical Symptoms: It's Not Just Hospice Anymore,"Palliative care provides important support for people living with serious or life-limiting illnesses and their family caregivers. In this course, you will learn to use symptom assessment tools to better understand which symptoms are present and which are most distressing. In subsequent weeks you will learn about some of the most common and distressing symptoms such as anorexia (loss of appetite), dyspnea (shortness of breath), fatigue (weakness), delirium(confusion) and constipation and nausea/vomiting. For each of these symptoms, you will learn about the underlying cause and potential ways to support people and their families to manage the symptoms with simple practical and non-medical approaches as well as a review of medications as appropriate. In addition, you will learn to help people with their emotional response to symptoms and loss of function.",https://www.coursera.org/learn/easing-physical-symptoms,University of Colorado System,230,Other university,Health,Patient Care,Beginner Level,14,1,2572,7.852439085
Mediation and Conflict Resolution,"Mediation is a crucial means to reaching peaceful and agreed solutions in today?Ä?????s world ?Ä????? on an international, political, industrial, peace-keeping or social level.",https://www.coursera.org/learn/conflict-resolution-mediation,ESSEC Business School,33,Other university,Business,Leadership and Management,Intermediate Level,13,2,14890,9.608445126
Personality Types at Work,,https://www.coursera.org/learn/personality-types-at-work,University of Florida,162,Other university,Personal Development,Personal Development,Beginner Level,21,6,61035,11.01920275
Customer Value in Pricing Strategy,"The traditional approach to pricing based on costs works to pay the bills, but it leaves revenue on the table. You can, in fact, price your products in a way that increases sales--if you know what your customers are willing to pay and can leverage psychology to create better deal and discount plans. In this course, we'll show you how to price a product based on how your customers value it and the psychology behind their purchase decisions. Developed at the Darden School of Business at the University of Virginia, and led by top-ranked Darden faculty and Boston Consulting Group global pricing experts, this course provides an in-depth understanding of value-based pricing and how to use it to capture more revenue.",https://www.coursera.org/learn/uva-darden-bcg-pricing-strategy-customer-value,University of Virginia,217,Other university,Business,Marketing,Beginner Level,15,1,11022,9.307648554
Biology Everywhere Foundations,"In this course, we will explore the nature of science and biology. We will discuss what the ?Ä?????biology everywhere?Ä????? philosophy means and the history of the ?Ä?????biology everywhere?Ä????? project. We will also discuss what science (and biology) are as a discipline of inquiry and how chemistry is foundational to understanding biology.",https://www.coursera.org/learn/biology-everywhere-foundations,University of Colorado Boulder,230,Other university,Health,Basic Science,Beginner Level,10,1,7128,8.871785969
The Data Science of Health Informatics,"Health data are notable for how many types there are, how complex they are, and how serious it is to get them straight. These data are used for treatment of the patient from whom they derive, but also for other uses. Examples of such secondary use of health data include population health (e.g., who requires more attention), research (e.g., which drug is more effective in practice), quality (e.g., is the institution meeting benchmarks), and translational research (e.g., are new technologies being applied appropriately). By the end of this course, students will recognize the different types of health and healthcare data, will articulate a coherent and complete question, will interpret queries designed for secondary use of EHR data, and will interpret the results of those queries.",https://www.coursera.org/learn/the-data-science-of-health-informatics,Johns Hopkins University,25,QS 100 University,Health,Health Informatics,Beginner Level,10,1,11785,9.374582815
Natural Language Processing in TensorFlow,"If you are a software developer who wants to build scalable AI-powered algorithms, you need to understand how to use the tools to build them. This Specialization will teach you best practices for using TensorFlow, a popular open-source framework for machine learning.",https://www.coursera.org/learn/natural-language-processing-tensorflow,DeepLearning.AI,1500,Company,Data Science,Machine Learning,Intermediate Level,14,3,95329,11.46508935
Essentials of Entrepreneurship: Thinking & Action,"Success in business can be greatly enhanced with an understanding of key entrepreneurial characteristics and competencies solutions.  This interactive course provides potential entrepreneurs with the knowledge of succeeding in an entrepreneurial opportunity.  Topics include: how creativity, opportunity and feasibility are best evaluated; business strategies for new businesses; importance of a business plan; achieving success in a new business.  At the end of the course students will have the skills and confidence to evaluate starting a business, in addition to becoming more enterprising in how they approach their roles should they decide to work in organizations.",https://www.coursera.org/learn/entrepreneurial-thinking,"University of California, Irvine",210,Other university,Business,Entrepreneurship,Unknown Level,5,8,99804,11.51096354
"Applied Public History: Places, People, Stories","This course introduces learners to applied public history: understanding and interpreting the past today, and engaging diverse communities in the practice of making and sharing histories. The course draws on project case studies, expert insights and diverse perspectives to model exciting approaches to researching and sharing the history of places and people. Learners will develop a toolkit to apply in their own practice, by participating in discussion, quizzes, creative activities and mini masterclasses.",https://www.coursera.org/learn/uol-public-history,University of London,10,Other university,Arts and Humanities,History,Beginner Level,25,1,2439,7.799343398
Introduction to Cyber Attacks,"This course provides learners with a baseline understanding of common cyber security threats, vulnerabilities, and risks. An overview of how basic cyber attacks are constructed and applied to real systems is also included. Examples include simple Unix kernel hacks, Internet worms, and Trojan horses in software utilities. Network attacks such as distributed denial of service (DDOS) and botnet- attacks are also described and illustrated using real examples from the past couple of decades.",https://www.coursera.org/learn/intro-cyber-attacks,New York University,35,QS 100 University,Computer Science,Computer Security and Networks,Beginner Level,19,1,48185,10.78280305
The New Nordic Diet - from Gastronomy to Health,"The New Nordic Diet is a new food culture developed in 2009-13 with key emphasis on gastronomy, health, and environment. Major research in its effect on acceptability, behaviour and learning skills, and disease prevention have been conducted by the OPUS centre at the University of Copenhagen and the people behind the award-winning restaurant Noma in Copenhagen.",https://www.coursera.org/learn/new-nordic-diet,University of Copenhagen,76,QS 100 University,Health,Nutrition,Unknown Level,7,1,46781,10.75323242
Requirements Specifications: Goals and Conflict Analysis,"In Requirements Goal Development and Language Analysis, we move from the spoken word to precise writing.  A first step in this is writing goals.  We will talk about goals used in requirements engineering and, from this, writing use cases from what we learn.  Use cases can be in diagram and written form.  Then- the villains enter- misuse cases and abuse cases are discussed in how we can deal with them in a Requirements environment.  In gathering requirements, you'll have many questions remaining.  Often this leads to the need of more interviews and group sessions.  We'll go through how to handle group meetings, dealing with inconsistency, and handling conflict between stakeholders.",https://www.coursera.org/learn/requirements-specification-goals,University of Colorado System,230,Other university,Computer Science,Software Development,Beginner Level,20,2,3285,8.097121931
Foundations of Teaching for Learning: Curriculum,"The Foundations of Teaching for Learning programme is for anyone who is teaching, or who would like to teach, in any subject and any context - be it at school, at home or in the workplace. With dynamic lessons taught by established and respected professionals from across the Commonwealth, this eight course programme will see you develop and strengthen your skills in teaching, professionalism, assessment, and more. As you carry on through the programme, you will find yourself strengthening not only your skills, but your connection with colleagues across the globe. A professional development opportunity not to be missed.",https://www.coursera.org/learn/teacher-curriculum,Commonwealth Education Trust,1500,Company,Social Sciences,Education,Unknown Level,11,5,22428,10.01806546
Getting Started With Application Development,"In this course, application developers learn how to design and develop cloud-native applications that seamlessly integrate managed services from Google Cloud. Participants learn how to apply best practices for application development and use the appropriate Google Cloud storage services for object storage, relational data, caching, and analytics.",https://www.coursera.org/learn/getting-started-app-development,Google Cloud,9,Company,Computer Science,Software Development,Intermediate Level,18,5,39733,10.58993736
Interfacing with the Arduino,"Arduino senses the environment by receiving inputs from add-on devices such as sensors, and can control the world around it by adjusting lights, motors, and other actuators. In this class you will learn how and when to use the different types of sensors and how to connect them to the Arduino. Since the external world uses continuous or analog signals and the hardware is digital you will learn how these signals are converted back-and-forth and how this must be considered as you program your device. You'll also learn about the use of Arduino-specific shields and the shields software libraries to interface with the real world. Please note that this course does not include discussion forums.",https://www.coursera.org/learn/interface-with-arduino,"University of California, Irvine",210,Other university,Physical Science and Engineering,Electrical Engineering,Unknown Level,11,6,94695,11.45841648
Intermediate Intel???? Distribution of OpenVINO?Ä????? toolkit for Deep Learning Applications,This course is designed for application developers who wants to deploy computer vision inference workloads using the Intel???? Distribution of OpenVINOTM toolkit. The course looks at computer vision neural network models from a variety of popular machine learning frameworks and covers writing a portable application capable of deploying inference on a range of compute devices.,https://www.coursera.org/learn/int-openvino,Intel,40,Company,Computer Science,Software Development,Intermediate Level,5,1,1609,7.383368147
"Sustainability of Social-Ecological Systems: the Nexus between Water, Energy and Food",In this course you will become familiar with the ideas of the water-energy-food nexus and transdisciplinary thinking.,https://www.coursera.org/learn/sustainability-social-ecological-systems,Universitat Aut??noma de Barcelona,213,Other university,Physical Science and Engineering,Environmental Science and Sustainability,Intermediate Level,23,1,11990,9.391828248
Understanding Plants - Part II: Fundamentals of Plant Biology,"This class is aimed at people interested in understanding the basic science of plant biology. In this four lecture series, we'll first learn about the structure-function of plants and of plant cells. Then we'll try to understand how plants grow and develop, making such complex structures as flowers. Once we know how plants grow and develop, we'll then delve into understanding photosynthesis - how plants take carbon dioxide from the air and water from soil, and turn this into oxygen for us to breathe",https://www.coursera.org/learn/plant-biology,Tel Aviv University,230,Other university,Health,Basic Science,Intermediate Level,6,9,33914,10.43158319
Fundamentals of Machine Learning for Healthcare,Machine learning and artificial intelligence hold the potential to transform healthcare and open up a world of incredible promise. But we will never realize the potential of these technologies unless all stakeholders have basic competencies in both healthcare and machine learning concepts and principles.,https://www.coursera.org/learn/fundamental-machine-learning-healthcare,Stanford University,2,QS 100 University,Data Science,Machine Learning,Beginner Level,12,1,7957,8.981807323
Developing Innovative Ideas for New Companies: The First Step in Entrepreneurship,"This course assists aspiring and active entrepreneurs in developing great ideas into great companies. With strong economies presenting rich opportunities for new venture creation, and challenging economic times presenting the necessity for many to make their own job, the need to develop the skills to develop and act on innovative business opportunities is increasingly vital.",https://www.coursera.org/learn/innovative-ideas,"University of Maryland, College Park",152,Other university,Business,Entrepreneurship,Unknown Level,8,4,58554,10.97770468
Journey of the Universe: The Unfolding of Life,"Journey of the Universe weaves together the discoveries of the evolutionary sciences together with humanities such as history, philosophy, art, and religion.  The course draws on the Emmy-award winning film, Journey of the Universe, and the book from Yale University Press.",https://www.coursera.org/learn/journey-of-the-universe,Yale University,17,QS 100 University,Arts and Humanities,History,Unknown Level,24,2,24243,10.09588319
Digital Transformation,"Digital transformation is a hot topic--but what exactly is it and what does it mean for companies? In this course, developed at the Darden School of Business at the University of Virginia, and led by top-ranked Darden faculty and Boston Consulting Group global management experts, we talk about digital transformation in two ways. First we discuss the pace of change and the imperative it creates for businesses. Next we provide the context for this transformation and what it takes to win in the digital age. Then we walk through BCG's proprietary framework, which helps you identify key areas to digitize, including strategy, core processes, and technology.",https://www.coursera.org/learn/bcg-uva-darden-digital-transformation,University of Virginia,217,Other university,Business,Leadership and Management,Beginner Level,15,5,129481,11.77128943
Global Arctic,"The GlobalArctic MOOC introduces you the dynamics between global changes and changes in the Arctic. This course aims to highlight the effects of climate change in the Polar region. In turn, it will underline the impacts of a warmer Arctic on the planet Earth. For human civilization, the Arctic stands both as a laboratory and a warning for human kind.",https://www.coursera.org/learn/global-arctic,??cole Polytechnique F??d??rale de Lausanne,14,QS 100 University,Social Sciences,Governance and Society,Intermediate Level,25,2,3454,8.147288259
Check Point Jump Start: Network Security,"In this course brought to you by industry leader Check Point, they will cover cybersecurity threats and elements of Check Point's Security Management architecture. This course will prepare you for the exam, #156-412, at PearsonVUE.(https://home.pearsonvue.com/checkpoint)",https://www.coursera.org/learn/check-point-jump-start-network-security,Check Point Software Technologies Ltd.,1500,Company,Information Technology,Security,Beginner Level,5,1,5552,8.621913502
What is Corruption: Anti-Corruption and Compliance,Have you ever paid someone for doing you a favor?,https://www.coursera.org/learn/what-is-corruption-anti-corruption-compliance,University of Pennsylvania,16,QS 100 University,Business,Business Essentials,Unknown Level,11,2,8656,9.066008001
Planet Earth...and You!,"Earthquakes, volcanoes, mountain building, ice ages, landslides, floods, life evolution, plate motions?Ä?????all of these phenomena have interacted over the vast expanses of deep time to sculpt the dynamic planet that we live on today.  Planet Earth presents an overview of several aspects of our home, from a geological perspective.  We begin with earthquakes?Ä?????what they are, what causes them, what effects they have, and what we can do about them. We will emphasize that plate tectonics?Ä?????the grand unifying theory of geology?Ä?????explains how the map of our planet's surface has changed radically over geologic time, and why present-day geologic activity?Ä?????including a variety of devastating natural disasters such as earthquakes?Ä?????occur where they do.  We consider volcanoes, types of eruptions, and typical rocks found there. Finally, we will delve into the processes that produce the energy and mineral resources that modern society depends on, to help understand the context of the environment and sustainability challenges that we will face in the future.",https://www.coursera.org/learn/planet-earth,University of Illinois at Urbana-Champaign,82,QS 100 University,Physical Science and Engineering,Environmental Science and Sustainability,Beginner Level,42,1,21538,9.977574096
Mindware: Critical Thinking for the Information Age,"Most professions these days require more than general intelligence. They require in addition the ability to collect, analyze and think about data. Personal life is enriched when these same skills are applied to problems in everyday life involving judgment and choice. This course presents basic concepts from statistics, probability, scientific methodology, cognitive psychology and cost-benefit theory and shows how they can be applied to everything from picking one product over another to critiquing media accounts of scientific research. Concepts are defined briefly and breezily and then applied to many examples drawn from business, the media and everyday life.",https://www.coursera.org/learn/mindware,University of Michigan,21,QS 100 University,Health,Psychology,Beginner Level,13,6,53962,10.89603537
Case studies in business analytics with ACCENTURE,Who is this course for ?,https://www.coursera.org/learn/case-studies-business-analytics-accenture,ESSEC Business School,33,Other university,Data Science,Data Analysis,Unknown Level,8,5,23658,10.0714566
Renewable Energy and Green Building Entrepreneurship,"Welcome to the course where you learn to launch a new business in the energy, finance, real estate, design, engineering, or environmental sectors, while also helping you create positive environmental and human health impacts around the world.",https://www.coursera.org/learn/renewable-energy-entrepreneurship,Duke University,42,QS 100 University,Business,Entrepreneurship,Beginner Level,18,5,56103,10.93494457
"Programming Foundations with JavaScript, HTML and CSS","Learn foundational programming concepts (e.g., functions, for loops, conditional statements) and how to solve problems like a programmer. In addition, learn basic web development as you build web pages using HTML, CSS, JavaScript. By the end of the course, will create a web page where others can upload their images and apply image filters that you create.",https://www.coursera.org/learn/duke-programming-web,Duke University,42,QS 100 University,Computer Science,Mobile and Web Development,Beginner Level,31,5,449572,13.0160513
Preparing for the Google Cloud Professional Cloud Architect Exam,"The purpose of this course is to help those who are qualified develop confidence to attempt the exam, and to help those not yet qualified to develop their own plan for preparation.",https://www.coursera.org/learn/preparing-cloud-professional-cloud-architect-exam,Google Cloud,9,Company,Information Technology,Cloud Computing,Advanced Level,11,4,52774,10.87377392
Design Principles: an Introduction,"What makes an interface intuitive? How can I tell whether one design works better than another? This course will teach you fundamental principles of design and how to effectively evaluate your work with users. You'll learn fundamental principles of visual design so that you can effectively organize and present information with your interfaces. You'll learn principles of perception and cognition that inform effective interaction design. And you'll learn how to perform and analyze controlled experiments online. In many cases, we'll use Web design as the anchoring domain. A lot of the examples will come from the Web, and we'll talk just a bit about Web technologies in particular. When we do so, it will be to support the main goal of this course, which is helping you build human-centered design skills, so that you have the principles and methods to create excellent interfaces with any technology.",https://www.coursera.org/learn/design-principles,University of California San Diego,54,QS 100 University,Computer Science,Design and Product,Beginner Level,13,7,59107,10.98710464
Understanding Plants - Part I: What a Plant Knows,"For centuries we have collectively marveled at plant diversity and form?Ä?????from Charles Darwin?Ä?????s early fascination with stems and flowers to Seymour Krelborn?Ä?????s distorted doting in Little Shop of Horrors. This course intends to present an intriguing and scientifically valid look at how plants themselves experience the world?Ä?????from the colors they see to the sensations they feel. Highlighting the latest research in genetics and more, we will delve into the inner lives of plants and draw parallels with the human senses to reveal that we have much more in common with sunflowers and oak trees than we may realize. We?Ä?????ll learn how plants know up from down, how they know when a neighbor has been infested by a group of hungry beetles, and whether they appreciate the music you?Ä?????ve been playing for them or if they?Ä?????re just deaf to the sounds around them. We?Ä?????ll explore definitions of memory and consciousness as they relate to plants in asking whether we can say that plants might even be aware of their surroundings. This highly interdisciplinary course meshes historical studies with cutting edge modern research and will be relevant to all humans who seek their place in nature.",https://www.coursera.org/learn/plantknows,Tel Aviv University,230,Other university,Health,Basic Science,Beginner Level,11,10,80329,11.29388598
Basic System Programming on IBM Z,"The foundational knowledge for the position of an IBM z/OS System Programmer and System Administrator begins with this third and final course in the three course professional certificate track. This course provides hands-on labs to everyday z/OS tasks with JCL, JES, ISHELL and HFS, and z/OSMF. Topics covered include VSAM, z/OS System Libraries, the Language Environment, Generation Data Groups, RAIM, DB2, UNIX System Services, and USS File System.",https://www.coursera.org/learn/system-programming,IBM,42,Company,Information Technology,Support and Operations,Intermediate Level,18,1,7534,8.927181388
Sales Pitch and Closing,"In Course 3 of the Art of Sales Specialization, you will learn how to give great presentations with dashing style and self-confidence. You will also learn how to ask the looming closing question. Finally, you will learn how to develop your brand and go above and beyond for your clients.",https://www.coursera.org/learn/sales-pitch-closing,Northwestern University,29,QS 100 University,Business,Business Essentials,Beginner Level,13,2,14579,9.587337416
Evidence-based Toxicology,"Welcome to the Evidence-based Toxicology (EBT) course. In medicine and healthcare, evidence-based medicine has revolutionized the way that information is evaluated transparently and objectively. Over the past ten years, a movement in North America and Europe has attempted to translate this revolution to the field of toxicology.",https://www.coursera.org/learn/evidence-based-toxicology,Johns Hopkins University,25,QS 100 University,Health,Basic Science,Beginner Level,19,1,5773,8.660947155
Mind of the Universe - Genetic Privacy: should we be concerned?,Should all our genetic information be made public in order to eradicate genetic diseases from this world?,https://www.coursera.org/learn/mind-of-the-universe-genetic-privacy,Universiteit Leiden,128,Other university,Arts and Humanities,Philosophy,Beginner Level,14,1,2826,7.946617563
Print and Digital Elements of Design: Branding and User Experience,"Graphic design projects can be delivered in either a printed format or a digital format, or both. This course will look at how to work with creative professionals to get the ideal usage out of a design to use in print medium such as logos, brochures and larger printed projects that will also carry over as seamlessly as possible into the digital realm of websites and social media. We will also cover the user experience and how to keep the end result in mind when working on creative endeavors.",https://www.coursera.org/learn/designing-print-digital-media,University of Colorado Boulder,230,Other university,Arts and Humanities,History,Beginner Level,10,1,12383,9.424079843
Principles of Computing (Part 2),"This two-part course introduces the basic mathematical and programming principles that underlie much of Computer Science. Understanding these principles is crucial to the process of creating efficient and well-structured solutions for computational problems.  To get hands-on experience working with these concepts, we will use the Python programming language. The main focus of the class will be weekly mini-projects that build upon the mathematical and programming principles that are taught in the class. To keep the class fun and engaging, many of the projects will involve working with strategy-based games.",https://www.coursera.org/learn/principles-of-computing-2,Rice University,89,QS 100 University,Computer Science,Software Development,Unknown Level,16,6,17182,9.751617603
Global Trends for Business and Society,"In this course, you?Ä?????ll learn to analyze rapidly changing global trends, their effects on consumer and labor markets, financial systems, and geopolitical relationships among countries all over the world. Professor Mauro Guillen of the Wharton School has designed this course to help you understand the magnitude of influence these trends have on the business world and society. Through real-world case studies, both historical and contemporary, you?Ä?????ll examine how changes within one society affect others. By the end of this course, you?Ä?????ll have gained the tools to be able to identify, analyze, and adapt to global changes as they affect your business and society.",https://www.coursera.org/learn/wharton-global-trends-business,University of Pennsylvania,16,QS 100 University,Social Sciences,Governance and Society,Unknown Level,10,6,12565,9.43867045
Mindfulness in Integrative Healthcare,"By the end of this course, you will be able to assess when mindfulness may be helpful for your patients or clients, educate them about its potential benefits, and refer them to mindfulness programs and resources. To begin, you will explore what mindfulness is (and is not) through presentations and direct experience. You will also learn about the research supporting the benefits (and risks) of mindfulness for various conditions, as well as how to identify contraindications. Finally, you will learn about the benefits of this practice for you as a busy healthcare provider.",https://www.coursera.org/learn/mindfulness-integrative-healthcare,University of Minnesota,177,Other university,Health,Research,Beginner Level,10,1,8724,9.073833127
Health for All Through Primary Health Care,This course explores why primary health care is central for achieving Health for All. It provides examples of how primary health care has been instrumental in approaching this goal in selected populations and how the principles of primary health care can guide future policies and actions.,https://www.coursera.org/learn/health-for-all,Johns Hopkins University,25,QS 100 University,Health,Patient Care,Unknown Level,11,5,14637,9.591307848
Introductory Human Physiology,"In this course, students learn to recognize and to apply the basic concepts that govern integrated body function (as an intact organism) in the body's nine organ systems.",https://www.coursera.org/learn/physiology,Duke University,42,QS 100 University,Health,Basic Science,Unknown Level,33,2,381133,12.85090367
Verb Tenses and Passives,"This is the first course in the Learn English: Advanced Grammar and Punctuation specialty. In this course, you will review the verb tenses that you learned in beginning English classes and learn about a few tenses you may not know very well. In all, you'll cover all 12 of the English verb tenses and passive verb forms. Most importantly, you'll learn how to blend these tenses, which is what native speakers frequently do. This course is vital to your becoming a more fluent English speaker.",https://www.coursera.org/learn/verb-passives,"University of California, Irvine",210,Other university,Language Learning,Learning English,Intermediate Level,25,2,96247,11.47467308
Inspiring Leadership through Emotional Intelligence,"Emotional intelligence, hope, mindfulness, and compassion help a person reverse the damage of chronic stress and build great leadership relationships. The Positive and Negative Emotional Attractors inspire sustained, desired change and learning at many levels.",https://www.coursera.org/learn/emotional-intelligence-leadership,Case Western Reserve University,162,Other university,Business,Leadership and Management,Beginner Level,19,10,99964,11.5125654
Supervised Machine Learning: Regression,"This course introduces you to one of the main types of modelling families of supervised Machine Learning: Regression. You will learn how to train regression models to predict continuous outcomes and how to use error metrics to compare across different models. This course also walks you through best practices, including train and test splits, and regularization techniques.",https://www.coursera.org/learn/supervised-learning-regression,IBM,42,Company,Data Science,Machine Learning,Intermediate Level,11,1,7254,8.88930832
Introduction to Financial Accounting,"Master the technical skills needed to analyze financial statements and disclosures for use in financial analysis, and learn how accounting standards and managerial incentives affect the financial reporting process. By the end of this course, you?Ä?????ll be able to read the three most common financial statements: the income statement, balance sheet, and statement of cash flows. Then you can apply these skills to a real-world business challenge as part of the Wharton Business Foundations Specialization.",https://www.coursera.org/learn/wharton-accounting,University of Pennsylvania,16,QS 100 University,Business,Business Essentials,Unknown Level,13,7,248216,12.42205461
